,Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,Day,Time_Range
0,19/10/2015,20,malay,female,moderate,30-40,yes,young,big,red,casual,blue,short_sleeve,black,short,clothes,3,10,no,Monday,night
1,19/10/2015,20,indian,male,thin,30-40,no,no_kids,big,green,casual,grey,short_sleeve,blue,long,blankets,6,9,no,Monday,night
2,19/10/2015,20,malay,female,moderate,20-30,no,no_kids,big,blue,casual,red,short_sleeve,black,long,blankets,4,10,no,Monday,night
3,19/10/2015,21,indian,male,thin,50-60,no,no_kids,big,black,casual,brown,short_sleeve,yellow,short,clothes,5,9,no,Monday,night
4,19/10/2015,21,indian,male,moderate,30-40,no,no_kids,big,blue,casual,blue,short_sleeve,white,long,clothes,3,9,no,Monday,night
5,19/10/2015,23,indian,male,fat,40-50,no,no_kids,small,white,casual,brown,long sleeve,blue,long,clothes,4,8,no,Monday,night
6,19/10/2015,23,indian,female,fat,40-50,no,no_kids,big,pink,traditional,blue,long sleeve,black,long,clothes,5,10,no,Monday,night
7,20/10/2015,0,indian,male,thin,40-50,no,baby,big,blue,casual,pink,short_sleeve,brown,long,clothes,3,9,no,Tuesday,midnight
8,20/10/2015,0,indian,male,thin,20-30,no,no_kids,small,purple,casual,white,short_sleeve,black,short,clothes,6,10,no,Tuesday,midnight
9,20/10/2015,1,chinese,male,moderate,30-40,no,no_kids,small,pink,casual,white,short_sleeve,blue,short,blankets,5,7,no,Tuesday,midnight
10,20/10/2015,3,foreigner ,female,moderate,40-50,no,no_kids,big,red,casual,black,short_sleeve,grey,short,clothes,4,8,no,Tuesday,midnight
11,20/10/2015,7,indian,male,moderate,30-40,no,no_kids,big,blue,casual,brown,short_sleeve,blue,long,clothes,4,8,no,Tuesday,midnight
12,20/10/2015,7,malay,female,moderate,30-40,no,no_kids,big,blue,casual,blue,long sleeve,blue,long,clothes,3,7,no,Tuesday,midnight
13,20/10/2015,9,malay,male,moderate,40-50,no,no_kids,big,yellow,casual,yellow,short_sleeve,black,long,clothes,3,9,yes,Tuesday,morning
14,20/10/2015,10,malay,female,moderate,50-60,no,young,big,red,casual,orange,long sleeve,grey,long,clothes,3,8,yes,Tuesday,morning
15,20/10/2015,10,malay,male,thin,30-40,no,no_kids,big,brown,formal,green,long sleeve,brown,long,clothes,5,9,no,Tuesday,morning
16,20/10/2015,10,malay,female,thin,50-60,yes,toddler,big,grey,casual,brown,long sleeve,grey,long,clothes,4,7,no,Tuesday,morning
17,20/10/2015,10,malay,male,fat,30-40,yes,toddler,big,blue,casual,grey,long sleeve,grey,long,clothes,5,9,no,Tuesday,morning
18,20/10/2015,11,malay,female,fat,50-60,yes,no_kids,big,blue,traditional,orange,long sleeve,orange,long,clothes,6,7,yes,Tuesday,morning
19,20/10/2015,11,malay,female,moderate,40-50,yes,young,big,pink,casual,green,long sleeve,grey,long,clothes,5,10,no,Tuesday,morning
